股票編號,股票名稱,觀察日期,觀察價格,觀察期間最高價,觀察期間最低價,觀察期間高低差除以最低,觀察期間高低價時間差(天),高低差除以高低價時間差,進場日期,進場價格,120天最高價,120天最低價,prevYearHighest,EntranceBias60,EntranceBias250,EntranceAlpha250,EntranceBeta21,EntranceBeta65,EntranceBeta250,EntranceDayKValue,EntranceDayDValue,EntranceDayKValue-EntranceDayDValue,EntranceWeekKValue,EntranceWeekDValue,EntranceWeekKValue-EntranceWeekDValue,EntranceWeekRoiCompare,EntranceMonthRoiCompare,EntranceQuoterRoiCompare,EntranceHalfYearRoiCompare,EntranceYearRoiCompare,entrance_stock_rate_of_return_month,entrance_stock_rate_of_return_month-capitalization_weighted_Index_rate_of_return_month,weekRoiCompareCurrent-prevWeekRoiCompareCurrent,monthRoiCompareCurrent-prevMonthRoiCompareCurrent,halfYearRoiCompareCurrent-prevHalfYearRoiCompareCurrent,(Entrance-Observe)/Observe,(Entrance-PrevYearHighest)/PrevYearHighest,monthKValue,monthDValue,prevDayVolumn,Diff,MacdDiff,WeekMaStd,MonthMaStd,SeasonMaStd,HalfYearMaStd,WeekMa,WeekMaDistance,MonthMa,MonthMaDistance
5483,中美晶,20050323,29.35,29.35,27.45,0.0692167577413479,0,6.921675774134799,20050323,29.35,1.9948892674616696,-0.0647359454855196,28.9,23.87,40.72,0.217,1.5069,1.258,1.0412,80.06,63.97,16.090000000000003,88.08,81.37,6.709999999999994,17.803,12.005,40.067,67.293,31.825,10.338,12.004999999999999,19.55,-10.510999999999997,86.798,0.0,0.015332197614991579,76.69,61.47,106364.4,0.3,0.063,1.4867,1.0679,2.3374,2.3257,27.21,0.0786475560455715,26.08,0.12538343558282222
5508,永信建,20050412,59.5,59.5,56.5,0.0530973451327433,0,5.3097345132743365,20050412,59.5,0.0689075630252101,-0.3058823529411765,57.5,15.2,53.61,0.3721,-0.276,0.5512,0.4459,82.77,76.45,6.319999999999993,86.4,81.59,4.810000000000002,9.779,16.982,35.049,96.729,114.689,13.592,16.982,8.928,21.698,79.633,0.0,0.03361344537815126,88.14,83.39,15267.55,0.127,0.032,1.9426,1.3036,3.686,7.9859,55.12,0.07946298984034839,53.865,0.10461338531513965
5511,德昌,20050606,9.71,9.71,9.21,0.0542888165038002,0,5.4288816503800215,20050606,9.71,0.1740473738414005,-0.2173017507723997,9.4,39.5,51.06,0.2141,2.061,0.5003,0.713,93.2,85.48,7.719999999999999,90.07,80.28,9.789999999999992,27.336,34.891,43.283,51.676,42.18,37.733,34.836,26.703,27.799999999999997,61.127,0.0,0.03192584963954691,81.69,66.78,3087.7,0.103,0.046,0.7599,0.7216,0.636,0.4956,8.576,0.13222947761194034,7.5505,0.28600754916892923
5519,隆大,20050104,15.5,15.5,14.8,0.0472972972972972,0,4.7297297297297245,20050104,15.5,0.5387096774193549,-0.0451612903225806,15.2,18.75,22.9,0.2718,-0.3471,0.0236,0.4011,89.46,85.69,3.769999999999996,80.46,67.83,12.629999999999995,5.898,19.208,24.79,18.046,92.234,22.045,19.197000000000003,6.109999999999999,17.714,-17.256,0.0,0.019354838709677465,76.23,68.27,533.0,0.048,0.009,0.2462,0.9782,0.8943,0.7129,15.08,0.02785145888594164,13.9925,0.10773628729676615
5525,順天,20050316,31.65,31.65,29.8,0.0620805369127516,0,6.20805369127516,20050316,31.65,0.0110584518167457,-0.3838862559241706,31.4,10.87,37.7,0.2548,0.0359,1.3798,0.5011,62.01,50.65,11.36,57.5,52.31,5.189999999999998,12.268,14.393,14.043,41.709,62.58,13.235,14.391,12.785,17.405,24.239000000000004,0.0,0.007898894154818327,77.21,73.5,35987.1,0.096,0.042,1.2295,1.0881,1.4147,2.6336,28.93,0.09402004839267193,27.7975,0.1385915999640255
5530,龍巖,20050905,9.71,9.71,9.5,0.0221052631578948,0,2.2105263157894828,20050905,9.71,2.954685890834191,-0.2173017507723997,9.2,19.96,36.45,0.1885,0.7833,0.2767,0.1116,82.19,69.79,12.399999999999991,86.74,77.74,9.0,15.471,23.946,41.302,43.07,38.647,18.56,22.996,10.984,19.816000000000003,43.81,0.0,0.05252317198764176,83.61,72.38,1087.05,0.114,0.063,0.5911,0.3999,0.2999,0.5282,8.736,0.11149267399267401,8.3175,0.1674180943793207
5531,鄉林,20050113,40.6,40.6,37.0,0.0972972972972973,0,9.729729729729732,20050113,40.6,0.1773399014778324,-0.1133004926108374,39.9,24.41,32.86,0.4074,-0.5767,-0.0273,0.9387,85.7,79.04,6.659999999999997,82.14,73.23,8.909999999999997,12.086,26.771,28.177,28.393,133.168,26.346,26.76,-1.2449999999999992,25.485,-50.70099999999999,0.0,0.017241379310344897,67.48,63.27,3236.6,0.125,0.036,1.4339,2.0778,2.4411,1.8533,37.7,0.07692307692307689,34.77,0.1676732815645671
5533,皇鼎,20050106,12.05,12.05,11.65,0.0343347639484978,0,3.433476394849788,20050106,12.05,0.1742738589211618,-0.1966804979253112,11.9,36.34,44.96,0.2542,2.2246,0.966,0.8478,80.23,80.03,0.20000000000000284,88.59,82.69,5.900000000000006,8.312,47.981,70.864,48.606,60.742,49.045,47.971000000000004,3.236999999999999,48.409,40.725,0.0,0.012448132780083016,67.66,51.78,14072.8,0.203,0.037,0.2112,1.1483,1.2056,1.1584,11.38,0.05887521968365553,9.96,0.20983935742971885
5603,陸海,20050420,16.5,16.5,15.9,0.0377358490566037,0,3.773584905660375,20050420,16.5,0.0,-0.3242424242424242,16.4,19.72,27.98,0.3314,0.035,0.179,0.4176,86.66,73.84,12.819999999999993,84.66,78.79,5.86999999999999,19.772,21.299,33.472,19.209,90.748,15.493,21.3,17.372999999999998,8.757,-35.468,0.0,0.0060606060606061465,70.94,63.8,10457.45,0.2,0.084,0.6651,0.6532,0.8588,0.8828,15.41,0.07073329007138221,14.5275,0.1357769747031492
5604,中連貨,20050201,21.4,21.4,21.2,0.0094339622641509,0,0.943396226415091,20050201,21.4,0.2383177570093458,-0.042056074766355,20.6,15.91,18.29,0.1752,0.0945,-0.0337,0.4684,78.02,64.14,13.879999999999995,93.75,91.44,2.3100000000000023,11.617,12.32,19.394,19.786,18.75,9.744,12.32,16.075000000000003,5.297000000000001,,0.0,0.03738317757009333,82.31,65.47,2290.25,0.134,0.012,0.8588,0.538,1.225,1.2515,19.82,0.07971745711402616,19.705,0.08601877696016241
