,股票名稱,進場日期,進場價格,出場日期,出場價格,120天最高價,120天最低價
1786,科妍,20181024,67.5,,,0.013333333333333417,-0.16148148148148145
1795,美時,20181228,73.0,,,0.02054794520547945,0.02054794520547945
1802,台玻,20180111,22.9,,,0.004366812227074298,-0.4323144104803493
1805,寶徠,20180523,15.35,,,0.006514657980456003,-0.40586319218241046
1806,冠軍,20180116,9.09,,,0.005500550055005579,-0.2354235423542354
1808,潤隆,20181228,50.2,,,0.08764940239043821,0.08764940239043821
1809,中釉,20180628,14.85,,,0.003367003367003415,-0.30303030303030304
1815,富喬,20180201,24.2,,,0.008264462809917326,-0.41528925619834706
1817,凱撒衛,20180105,47.75,,,0.003141361256544473,-0.2534031413612566
1904,正隆,20181204,21.45,,,0.013986013986014019,-0.11655011655011656
1907,永豐餘,20180227,14.4,,,0.017361111111111112,-0.22569444444444445
2006,東和鋼鐵,20180131,26.3,,,0.007604562737642559,-0.28136882129277574
2008,高興昌,20180628,13.15,,,0.011406844106463905,-0.11406844106463879
2009,第一銅,20180111,14.85,,,0.00673400673400671,-0.4033670033670034
2012,春雨,20181228,15.3,,,0.3071895424836601,0.3071895424836601
2013,中鋼構,20181228,26.8,,,0.00373134328358201,0.00373134328358201
2014,中鴻,20181018,13.15,,,0.015209125475285117,-0.17870722433460073
2015,豐興,20181228,58.0,,,0.008620689655172414,0.008620689655172414
2017,官田鋼,20180611,11.1,,,0.009009009009008978,-0.26306306306306304
2020,美亞,20180712,15.6,,,0.016025641025641028,-0.15384615384615388
2022,聚亨,20181220,7.12,,,0.011235955056179785,-0.05477528089887636
2024,志聯,20180423,11.6,,,0.008620689655172384,-0.21982758620689646
2025,千興,20180612,4.1,,,0.0024390243902440672,-0.47560975609756095
2027,大成鋼,20181228,22.8,,,0.861842105263158,0.861842105263158
2028,威致,20180815,10.4,,,0.024038461538461536,-0.3134615384615385
2031,新光鋼,20181119,34.1,,,0.011730205278592334,-0.09824046920821118
2032,新鋼,20180112,12.0,,,0.020833333333333332,-0.2583333333333333
2033,佳大,20181222,10.0,,,0.030000000000000072,-0.030000000000000072
2038,海光,20181114,9.04,,,0.0011061946902656597,-0.12389380530973444
2049,上銀,20180716,344.0,,,0.06686046511627906,-0.44040697674418605
2061,風青,20180313,12.65,,,0.01581027667984184,-0.2893280632411067
2067,嘉鋼,20180307,19.2,,,0.041666666666666706,-0.32812499999999994
2104,國際中橡,20180824,48.3,,,0.006211180124223691,-0.2960662525879917
2108,南帝,20181217,28.9,,,0.0017301038062283985,-0.027681660899653883
2109,華豐,20181002,14.0,,,0.0071428571428571175,-0.1857142857142857
2114,鑫永銓,20181005,91.5,,,0.006557377049180265,-0.16065573770491806
2208,台船,20181228,16.6,,,0.5331325301204818,0.5331325301204818
2221,大甲,20181005,33.15,,,0.01357466063348425,-0.11010558069381594
2231,為升,20180420,428.0,,,0.002336448598130841,-0.5841121495327103
2302,麗正,20181228,7.38,,,0.016260162601626032,0.016260162601626032
2303,聯電,20180907,16.8,,,0.0029761904761905185,-0.36904761904761907
2305,全友,20180309,11.15,,,0.04035874439461877,-0.47623318385650226
2323,中環,20181228,4.89,,,0.3803680981595093,0.3803680981595093
2327,國巨,20181207,355.0,,,0.01267605633802817,-0.09859154929577464
2330,台積電,20181008,245.0,,,0.006122448979591836,-0.11020408163265306
