,進場日期,進場價格,120天最高價,120天最低價,進場當天成交金額(千),Ma2prev1,Ma2prev2,Ma2prev2-Ma2prev1,oneMonthVolatility,twoMonthVolatility,threeMonthVolatility,twelveMonthVolatility,twelveMonthFluctuation,bias60,bias250,alpha250,Beta21,Beta65,Beta250,PrevYearHighest
3540_20201214,20201214.0,67.5,0.2933333333333333,-0.1348148148148148,,29.7,51.605,-21.905000000000005,28.6,33.64,45.49,57.8,0.574,-3.13,53.89,0.3597,0.7832,1.8554,1.1627,44.4
3552_20201214,20201214.0,187.0,1.0294117647058822,-0.0855614973262032,,16.655,18.82,-2.164999999999999,59.08,68.09,70.69,78.56,0.782,35.68,124.81,0.3435,-2.316,1.8229,1.6639,182.0
3557_20201214,20201214.0,109.0,0.0091743119266055,-0.2614678899082568,,-3.95,68.99499999999999,-72.945,58.24,44.13,40.17,50.98,0.506,22.66,54.97,0.241,0.1578,0.9686,1.0713,47.55
3588_20201214,20201214.0,64.0,0.5609375000000001,-0.0890625,,39.81,42.85,-3.039999999999999,69.63,60.92,58.36,58.1,0.575,46.85,81.5,0.3131,-0.767,0.8819,1.0301,33.4
3622_20201214,20201214.0,34.8,0.3649425287356323,-0.1206896551724136,,-17.0,-23.02,6.02,79.77,60.03,52.43,46.22,0.459,36.79,59.65,0.183,1.2369,1.2098,1.0853,24.4
3669_20201214,20201214.0,82.7,0.1825876662636033,-0.1438935912938332,,165.905,242.805,-76.9,32.55,44.06,54.61,73.81,0.73,-17.38,45.64,0.6804,0.5593,1.2166,0.766,22.7
3679_20201214,20201214.0,117.0,0.4658119658119658,-0.1239316239316239,,24.145,46.435,-22.290000000000003,25.32,38.25,45.26,45.86,0.456,6.75,54.01,0.2089,0.1682,1.0837,1.0939,90.5
3686_20201214,20201214.0,18.9,0.0634920634920636,-0.2592592592592592,,10.39,10.65,-0.2599999999999998,60.51,66.86,84.71,77.65,0.766,-1.54,116.95,0.6024,-2.3786,-0.7987,0.8202,7.74
4133_20201214,20201214.0,58.8,0.3673469387755104,-0.1777210884353741,,16.88,38.34,-21.460000000000004,44.43,41.07,49.9,82.22,0.817,-14.01,-1.76,0.4557,-0.3944,-0.6298,-0.0939,40.0
4735_20201214,20201214.0,105.0,0.0857142857142857,-0.2619047619047619,,205.83,197.86,7.96999999999997,44.85,54.35,48.93,53.72,0.535,-15.06,25.91,0.3422,2.1683,0.8019,0.5123,52.2
4933_20201214,20201214.0,43.05,0.2218350754936122,-0.1486643437862949,,46.52,36.09,10.429999999999993,70.14,52.65,48.06,39.64,0.395,28.41,66.29,0.1497,2.0577,1.5192,1.0899,40.5
4934_20201214,20201214.0,29.15,0.1080617495711834,-0.2572898799313893,,40.925,-17.68,58.605,49.88,45.45,57.11,68.55,0.675,-4.5,48.11,0.4333,-1.766,0.2047,1.1952,13.1
4961_20201214,20201214.0,78.4,4.038265306122449,0.0,,52.045,27.24,24.805,63.46,56.35,50.76,49.22,0.489,95.02,136.77,0.2099,-0.6596,0.9613,1.5021,49.9
4976_20201229,20201229.0,76.8,0.6471354166666667,-0.0950520833333333,,84.63,65.65,18.97999999999999,66.44,58.31,55.46,59.78,0.596,33.94,124.02,0.317,0.9883,1.2487,1.6442,74.0
5011_20201218,20201218.0,43.0,0.0802325581395349,-0.5,,169.05,152.14,16.910000000000025,72.27,65.1,57.82,43.5,0.427,62.87,133.28,0.4351,-0.1922,0.2756,0.2252,19.5
5223_20201214,20201214.0,72.2,0.6689750692520775,-0.1689750692520776,,51.205,49.045,2.1599999999999966,28.32,29.61,33.55,53.39,0.531,2.67,48.27,0.1663,-0.0303,1.3258,1.2741,54.5
5243_20201222,20201222.0,49.25,0.7055837563451777,0.0,,27.915,17.36,10.555,48.95,43.29,38.35,38.05,0.38,29.07,48.73,0.0861,0.438,1.0696,1.218,47.15
5309_20201214,20201214.0,46.3,0.0,-0.4254859611231101,,48.835,38.12,10.714999999999996,76.87,69.86,67.48,78.62,0.779,7.4,59.88,0.5873,2.4085,2.4455,1.8827,19.4
5347_20201214,20201214.0,116.0,0.1379310344827586,-0.1120689655172413,,21.185,21.585,-0.3999999999999986,50.2,40.95,40.2,36.24,0.361,15.26,42.08,0.1095,1.9395,1.6629,0.8826,83.6
5443_20201214,20201214.0,43.0,0.1930232558139534,-0.2488372093023256,,5.68,-24.86,30.54,60.82,55.57,58.91,47.65,0.471,30.2,92.17,0.2364,0.9459,0.8857,1.1118,31.75
